"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.801239668E2,1.779845428E1,1.883827591E1,-4.571252441E1
1.801339768E2,1.779845428E1,1.883827591E1,-4.571252441E1
1.801439858E2,1.788105011E1,1.893835831E1,-4.557354736E1
1.801539658E2,1.788105011E1,1.893835831E1,-4.557354736E1
1.801639748E2,1.769545746E1,1.899230576E1,-4.570153809E1
1.801739548E2,1.769545746E1,1.899230576E1,-4.570153809E1
1.801839648E2,1.785694122E1,1.894784927E1,-4.554589844E1
1.801939738E2,1.785694122E1,1.894784927E1,-4.554589844E1
1.802039538E2,1.787560272E1,1.889769363E1,-4.575933838E1
1.802139628E2,1.787560272E1,1.889769363E1,-4.575933838E1
1.802239728E2,1.763373566E1,1.910164261E1,-4.571197510E1
1.802339518E2,1.763373566E1,1.910164261E1,-4.571197510E1
1.802439618E2,1.775495148E1,1.901907730E1,-4.535668945E1
1.802539408E2,1.775495148E1,1.901907730E1,-4.535668945E1
1.802639508E2,1.750852203E1,1.902025986E1,-4.551678467E1
1.802739608E2,1.750852203E1,1.902025986E1,-4.551678467E1
1.802839398E2,1.781534576E1,1.919900894E1,-4.567913818E1
1.802939498E2,1.781534576E1,1.919900894E1,-4.567913818E1
1.803039598E2,1.781082916E1,1.924550247E1,-4.578509521E1
1.803139388E2,1.781082916E1,1.924550247E1,-4.578509521E1
1.803239488E2,1.819470978E1,1.901913834E1,-4.574639893E1
1.803339578E2,1.819470978E1,1.901913834E1,-4.574639893E1
1.803439378E2,1.774768829E1,1.892221451E1,-4.575555420E1
1.803539468E2,1.774768829E1,1.892221451E1,-4.575555420E1
1.803639268E2,1.771378326E1,1.874791336E1,-4.573272705E1
1.803739358E2,1.771378326E1,1.874791336E1,-4.573272705E1
1.803839458E2,1.794475555E1,1.868503952E1,-4.581115723E1
1.803939248E2,1.794475555E1,1.868503952E1,-4.581115723E1
1.804039348E2,1.771865082E1,1.896270370E1,-4.573492432E1
1.804139448E2,1.771865082E1,1.896270370E1,-4.573492432E1
1.804239238E2,1.802245331E1,1.865828323E1,-4.567730713E1
1.804339338E2,1.802245331E1,1.865828323E1,-4.567730713E1
1.804439128E2,1.801840973E1,1.876613235E1,-4.555133057E1
1.804539228E2,1.801840973E1,1.876613235E1,-4.555133057E1
1.804639328E2,1.780367279E1,1.890813065E1,-4.587304688E1
1.804739118E2,1.797600555E1,1.895265579E1,-4.572680664E1
1.804839218E2,1.797600555E1,1.895265579E1,-4.572680664E1
1.804939318E2,1.814682770E1,1.884118271E1,-4.573144531E1
1.805039108E2,1.814682770E1,1.884118271E1,-4.573144531E1
1.805139208E2,1.788722992E1,1.875037766E1,-4.561773682E1
1.805239298E2,1.788722992E1,1.875037766E1,-4.561773682E1
1.805339098E2,1.789775848E1,1.878649521E1,-4.583123779E1
1.805439188E2,1.789775848E1,1.878649521E1,-4.583123779E1
