Time (s),X (hPa)
1654803147356103680,985.0845337000001
1654803148422175488,985.0845337000001
1654803149488256768,985.0881195000001
1654803150554359808,985.0909424
1654803151620501760,985.0909424
1654803152686608896,985.0900268999999
1654803153752760576,985.0900268999999
1654803154818897664,985.08255
1654803155884997632,985.0755310000001
1654803156950995712,985.0745392000001
1654803158016996608,985.0745392000001
1654803159083030784,985.0750732000001
1654803160149118720,985.0773621
1654803161215247616,985.0801849
1654803162281398784,985.0802612
1654803163347462656,985.0834656
1654803164413597696,985.0897980000001
1654803165479702784,985.0947571
1654803166545816576,985.0997162000001
1654803167611954688,985.1069641
1654803168678094592,985.1171875
1654803169744226816,985.1177979
1654803170810340608,985.1213073999999
1654803171876443648,985.1221466
1654803172942622720,985.1213073999999
1654803174008756480,985.1222229
1654803175074888704,985.1225281
1654803176141002752,985.1235962000001
1654803177207123712,985.1233673
1654803178273261824,985.1251983999999
1654803179339356672,985.1245117000001
1654803180405513728,985.1255798000001
1654803181471653120,985.1245117000001
1654803182537771008,985.1261139000001
1654803183603859968,985.1288605000001
1654803184669948928,985.1288605000001
1654803185736068096,985.1283264
1654803186802116864,985.1283264
1654803187868224000,985.1304626
1654803188934312960,985.1309204
1654803190000416000,985.1327515
1654803191066471936,985.1361083999999
1654803192132566016,985.1361083999999
1654803193198704896,985.1326752
1654803194264794880,985.1326752
1654803195330917120,985.1307678
1654803196397003008,985.1289367999999
1654803197463145984,985.1289367999999
1654803198529320960,985.1323699999999
1654803199595454976,985.1325226
1654803200661566976,985.1323699999999
1654803201727717888,985.1325226
1654803202793843968,985.1329041000001
1654803203859944960,985.1333617999999
1654803204926065920,985.1329041000001
1654803205992180992,985.1315308000001
1654803207058320896,985.1315308000001
1654803208124495872,985.1315308000001
1654803209190605056,985.1275635
1654803210256744960,985.1275635
1654803211322923008,985.1293182000001
1654803212389079040,985.1300049
1654803213455203072,985.1307678
1654803214521369088,985.1366425000001
1654803215587474944,985.1407623
1654803216653488128,985.1434326
1654803217719523072,985.1441192999999
1654803218785614080,985.1444243999999
1654803219851734016,985.1444243999999
1654803220917828096,985.1451111
1654803221983912960,985.1451111
1654803223049998080,985.1465607000001
1654803224116111104,985.1510619999999
1654803225182248960,985.1524353
1654803226248347904,985.1548767
1654803227314397952,985.1570892000001
1654803228380396032,985.1609802000002
1654803229446417920,985.1649474999999
1654803232049328128,985.1852417000001
1654803233082075904,985.1826477
1654803234114839040,985.1799774
1654803235147556096,985.1798248
1654803236180307968,985.1792908
1654803236372677888,985.173645
1654803237438811904,985.170517
1654803238504894976,985.168457
1654803239570999040,985.1651764000001
1654803240637147904,985.1631927000001
1654803241703223040,985.1631927000001
1654803242769296896,985.164566
1654803243835332096,985.1655579
1654803244901377024,985.1672363
1654803245967427072,985.1690674
1654803247033478912,985.1702117999998
1654803248099480064,985.1726532
1654803249165498880,985.1747893999999
1654803250231558912,985.1753235
1654803251297558016,985.1753235
1654803252363550976,985.1758574999999
1654803253429562112,985.1758574999999
1654803254495617024,985.1758574999999
1654803255561646080,985.1766205
1654803256627632896,985.1773071
1654803257693625088,985.1774597000001
1654803258759687936,985.1776886
1654803259825736960,985.1793671
1654803260891828992,985.1798248
1654803261957944064,985.1815796
1654803263024023040,985.1818847999999
1654803264090053120,985.1824187999999
1654803265156128000,985.1838684
1654803266222174976,985.1828002999998
1654803267288250880,985.1838684
1654803268354308096,985.1849365
1654803269420457984,985.1875305
1654803270486598912,985.1896667000001
1654803271552788992,985.192337
1654803272618945024,985.1952362
1654803273685044992,985.196991
1654803274751141888,985.196991
1654803275817198080,985.195694
1654803276883269888,985.1925659
1654803277949384960,985.19104
1654803279015496960,985.19104
1654803280081582080,985.1913452
1654803281147662848,985.1935576999999
1654803282213767936,985.196991
1654803283279862016,985.1988982999999
1654803284345977088,985.2005767999999
1654803285412069888,985.2023314999999
1654803286478172928,985.2043152000001
1654803287544272896,985.2046204
1654803288610372096,985.2064514
1654803289676467968,985.2082824999999
1654803290742512896,985.2082824999999
1654803291808495104,985.2084351
1654803292874557952,985.2075195
1654803293940566016,985.2075195
1654803295006599936,985.2075195
1654803296072665088,985.2081299
1654803297138795008,985.2089691
1654803298204932096,985.2111053
1654803299271004928,985.2131652999999
1654803300337091072,985.2148437999999
1654803301403223040,985.2149962999999
1654803302469376000,985.2167511
1654803303535529984,985.2170563
1654803304601622016,985.2182007000001
1654803305667790080,985.2184296
1654803306733976064,985.2196502999999
1654803307800150016,985.2196502999999
1654803308866273024,985.2191925000001
1654803309932412928,985.2186583999999
1654803310998577920,985.2165222000001
1654803312064688128,985.2141571000001
1654803313130749952,985.2129364
1654803314196877056,985.2119446
1654803315263045120,985.2119446
1654803316329181952,985.2113342
1654803317395291904,985.2111053
1654803318461261056,985.2111053
1654803319527394048,985.2105713
1654803320593563904,985.2092742999998
1654803321659739904,985.2092742999998
1654803322725936896,985.2090454
1654803323792124928,985.2087402000001
1654803324858298880,985.2075957999999
1654803325924468992,985.2069855000001
1654803326990659072,985.2069855000001
1654803328056814080,985.2070617999999
1654803329122955008,985.2087402000001
1654803330189044992,985.2096558000001
1654803331255132928,985.2098082999998
1654803332321266944,985.2108765
1654803333387429888,985.2108765
1654803334453626112,985.2100372000001
1654803335519799040,985.2100372000001
1654803336586004992,985.2124023
1654803337652173056,985.2124786
1654803338718262016,985.2130890000001
1654803339784391936,985.2165984999999
1654803340850503936,985.2165984999999
1654803341916643072,985.2159882000001
1654803342982806016,985.2153777999999
1654803344048965888,985.2128601
1654803345115113984,985.2084351
1654803346181263104,985.2071381000001
1654803347247421952,985.2071381000001
1654803348313529088,985.2091217
1654803349379569920,985.2133941999999
1654803350445633024,985.2172852
1654803351511773952,985.2191162
1654803352577893120,985.2196502999999
1654803353643980032,985.2212524
1654803354710126080,985.2222442999999
1654803355776278016,985.2239227
1654803356842405120,985.2249908
1654803357908518912,985.2258301
1654803358974693888,985.2266693
1654803360040830976,985.2281188999999
1654803361107012096,985.2296447999998
1654803362173190912,985.2306366
1654803363239415040,985.2328491000001
1654803364305586944,985.2342987
1654803365371802112,985.2372742
1654803366438064896,985.2379607999999
1654803367504305920,985.2424622000001
1654803368570536960,985.2465057000001
1654803369636798976,985.2484131000001
1654803370703030016,985.2494812000001
1654803371769230080,985.2533722000001
1654803372835435008,985.2542877000001
1654803373901635072,985.2566527999999
1654803374967788032,985.2566527999999
